cctv5,#genre#
CCTV5+,http://113.100.72.213:8899/udp/239.77.0.87:5146
CCTV5+,http://113.100.72.213:8899/udp/239.77.1.147:5146
CCTV5+,http://113.100.72.213:8899/udp/239.77.1.31:5146
CCTV5+,http://113.101.160.251:8888/udp/239.77.0.87:5146
CCTV5+,http://113.101.160.251:8888/udp/239.77.1.147:5146
CCTV5+,http://113.101.160.251:8888/udp/239.77.1.31:5146
CCTV5+,http://113.103.253.192:2000/udp/239.77.0.87:5146
CCTV5+,http://113.103.253.192:2000/udp/239.77.1.147:5146
CCTV5+,http://113.103.253.192:2000/udp/239.77.1.31:5146
CCTV5+,http://113.118.207.83:4022/udp/239.77.0.87:5146
CCTV5+,http://113.118.207.83:4022/udp/239.77.1.147:5146
CCTV5+,http://113.118.207.83:4022/udp/239.77.1.31:5146
CCTV5+,http://113.93.51.232:2000/udp/239.77.0.87:5146
CCTV5+,http://113.93.51.232:2000/udp/239.77.1.147:5146
CCTV5+,http://113.93.51.232:2000/udp/239.77.1.31:5146
CCTV5+,http://116.21.124.225:8888/udp/239.77.0.87:5146
CCTV5+,http://116.21.124.225:8888/udp/239.77.1.147:5146
CCTV5+,http://116.21.124.225:8888/udp/239.77.1.31:5146
CCTV5+,http://119.134.111.133:8888/udp/239.77.0.87:5146
CCTV5+,http://119.134.111.133:8888/udp/239.77.1.147:5146
CCTV5+,http://119.134.111.133:8888/udp/239.77.1.31:5146
CCTV5+,http://119.136.115.26:8888/udp/239.77.0.87:5146
CCTV5+,http://119.136.115.26:8888/udp/239.77.1.147:5146
CCTV5+,http://119.136.115.26:8888/udp/239.77.1.31:5146
CCTV5+,http://121.13.165.98:8000/udp/239.77.0.87:5146
CCTV5+,http://121.13.165.98:8000/udp/239.77.1.147:5146
CCTV5+,http://121.13.165.98:8000/udp/239.77.1.31:5146
CCTV5+,http://125.89.163.44:8888/udp/239.77.0.87:5146
CCTV5+,http://125.89.163.44:8888/udp/239.77.1.147:5146
CCTV5+,http://125.89.163.44:8888/udp/239.77.1.31:5146
CCTV5+,http://14.126.29.23:5000/udp/239.77.0.87:5146
CCTV5+,http://14.126.29.23:5000/udp/239.77.1.147:5146
CCTV5+,http://14.126.29.23:5000/udp/239.77.1.31:5146
CCTV5+,http://183.21.81.142:8686/udp/239.77.0.87:5146
CCTV5+,http://183.21.81.142:8686/udp/239.77.1.147:5146
CCTV5+,http://183.21.81.142:8686/udp/239.77.1.31:5146
CCTV5+,http://218.15.214.115:10000/udp/239.77.0.87:5146
CCTV5+,http://218.15.214.115:10000/udp/239.77.1.147:5146
CCTV5+,http://218.15.214.115:10000/udp/239.77.1.31:5146
CCTV5+,http://59.41.124.57:8888/udp/239.77.0.87:5146
CCTV5+,http://59.41.124.57:8888/udp/239.77.1.147:5146
CCTV5+,http://59.41.124.57:8888/udp/239.77.1.31:5146
CCTV5+,http://61.143.227.162:10000/udp/239.77.0.87:5146
CCTV5+,http://61.143.227.162:10000/udp/239.77.1.147:5146
CCTV5+,http://61.143.227.162:10000/udp/239.77.1.31:5146
CCTV5,http://113.100.72.213:8899/udp/239.77.0.170:5146
CCTV5,http://113.100.72.213:8899/udp/239.77.0.177:5146
CCTV5,http://113.101.160.251:8888/udp/239.77.0.170:5146
CCTV5,http://113.101.160.251:8888/udp/239.77.0.177:5146
CCTV5,http://113.103.253.192:2000/udp/239.77.0.170:5146
CCTV5,http://113.103.253.192:2000/udp/239.77.0.177:5146
CCTV5,http://113.118.207.83:4022/udp/239.77.0.170:5146
CCTV5,http://113.118.207.83:4022/udp/239.77.0.177:5146
CCTV5,http://113.93.51.232:2000/udp/239.77.0.170:5146
CCTV5,http://113.93.51.232:2000/udp/239.77.0.177:5146
CCTV5,http://116.21.124.225:8888/udp/239.77.0.170:5146
CCTV5,http://116.21.124.225:8888/udp/239.77.0.177:5146
CCTV5,http://119.134.111.133:8888/udp/239.77.0.170:5146
CCTV5,http://119.134.111.133:8888/udp/239.77.0.177:5146
CCTV5,http://119.136.115.26:8888/udp/239.77.0.170:5146
CCTV5,http://119.136.115.26:8888/udp/239.77.0.177:5146
CCTV5,http://121.13.165.98:8000/udp/239.77.0.170:5146
CCTV5,http://121.13.165.98:8000/udp/239.77.0.177:5146
CCTV5,http://125.89.163.44:8888/udp/239.77.0.170:5146
CCTV5,http://125.89.163.44:8888/udp/239.77.0.177:5146
CCTV5,http://14.126.29.23:5000/udp/239.77.0.170:5146
CCTV5,http://14.126.29.23:5000/udp/239.77.0.177:5146
CCTV5,http://183.21.81.142:8686/udp/239.77.0.170:5146
CCTV5,http://183.21.81.142:8686/udp/239.77.0.177:5146
CCTV5,http://218.15.214.115:10000/udp/239.77.0.170:5146
CCTV5,http://218.15.214.115:10000/udp/239.77.0.177:5146
CCTV5,http://59.41.124.57:8888/udp/239.77.0.170:5146
CCTV5,http://59.41.124.57:8888/udp/239.77.0.177:5146
CCTV5,http://61.143.227.162:10000/udp/239.77.0.170:5146
CCTV5,http://61.143.227.162:10000/udp/239.77.0.177:5146


广东组播,#genre#
广东民生,http://113.100.72.213:8899/udp/239.77.0.225:5146
广东民生,http://113.100.72.213:8899/udp/239.77.0.5:5146
广东民生,http://113.101.160.251:8888/udp/239.77.0.225:5146
广东民生,http://113.101.160.251:8888/udp/239.77.0.5:5146
广东民生,http://113.103.253.192:2000/udp/239.77.0.225:5146
广东民生,http://113.103.253.192:2000/udp/239.77.0.5:5146
广东民生,http://113.118.207.83:4022/udp/239.77.0.225:5146
广东民生,http://113.118.207.83:4022/udp/239.77.0.5:5146
广东民生,http://113.93.51.232:2000/udp/239.77.0.225:5146
广东民生,http://113.93.51.232:2000/udp/239.77.0.5:5146
广东民生,http://116.21.124.225:8888/udp/239.77.0.225:5146
广东民生,http://116.21.124.225:8888/udp/239.77.0.5:5146
广东民生,http://119.134.111.133:8888/udp/239.77.0.225:5146
广东民生,http://119.134.111.133:8888/udp/239.77.0.5:5146
广东民生,http://119.136.115.26:8888/udp/239.77.0.225:5146
广东民生,http://119.136.115.26:8888/udp/239.77.0.5:5146
广东民生,http://121.13.165.98:8000/udp/239.77.0.225:5146
广东民生,http://121.13.165.98:8000/udp/239.77.0.5:5146
广东民生,http://125.89.163.44:8888/udp/239.77.0.225:5146
广东民生,http://125.89.163.44:8888/udp/239.77.0.5:5146
广东民生,http://14.126.29.23:5000/udp/239.77.0.225:5146
广东民生,http://14.126.29.23:5000/udp/239.77.0.5:5146
广东民生,http://183.21.81.142:8686/udp/239.77.0.225:5146
广东民生,http://183.21.81.142:8686/udp/239.77.0.5:5146
广东民生,http://218.15.214.115:10000/udp/239.77.0.225:5146
广东民生,http://218.15.214.115:10000/udp/239.77.0.5:5146
广东民生,http://59.41.124.57:8888/udp/239.77.0.225:5146
广东民生,http://59.41.124.57:8888/udp/239.77.0.5:5146
广东民生,http://61.143.227.162:10000/udp/239.77.0.225:5146
广东民生,http://61.143.227.162:10000/udp/239.77.0.5:5146
广东珠江,http://113.100.72.213:8899/udp/239.77.0.114:5146
广东珠江,http://113.100.72.213:8899/udp/239.77.0.1:5146
广东珠江,http://113.100.72.213:8899/udp/239.77.0.3:5146
广东珠江,http://113.100.72.213:8899/udp/239.77.1.94:5146
广东珠江,http://113.101.160.251:8888/udp/239.77.0.114:5146
广东珠江,http://113.101.160.251:8888/udp/239.77.0.1:5146
广东珠江,http://113.101.160.251:8888/udp/239.77.0.3:5146
广东珠江,http://113.101.160.251:8888/udp/239.77.1.94:5146
广东珠江,http://113.103.253.192:2000/udp/239.77.0.114:5146
广东珠江,http://113.103.253.192:2000/udp/239.77.0.1:5146
广东珠江,http://113.103.253.192:2000/udp/239.77.0.3:5146
广东珠江,http://113.103.253.192:2000/udp/239.77.1.94:5146
广东珠江,http://113.118.207.83:4022/udp/239.77.0.114:5146
广东珠江,http://113.118.207.83:4022/udp/239.77.0.1:5146
广东珠江,http://113.118.207.83:4022/udp/239.77.0.3:5146
广东珠江,http://113.118.207.83:4022/udp/239.77.1.94:5146
广东珠江,http://113.93.51.232:2000/udp/239.77.0.114:5146
广东珠江,http://113.93.51.232:2000/udp/239.77.0.1:5146
广东珠江,http://113.93.51.232:2000/udp/239.77.0.3:5146
广东珠江,http://113.93.51.232:2000/udp/239.77.1.94:5146
广东珠江,http://116.21.124.225:8888/udp/239.77.0.114:5146
广东珠江,http://116.21.124.225:8888/udp/239.77.0.1:5146
广东珠江,http://116.21.124.225:8888/udp/239.77.0.3:5146
广东珠江,http://116.21.124.225:8888/udp/239.77.1.94:5146
广东珠江,http://119.134.111.133:8888/udp/239.77.0.114:5146
广东珠江,http://119.134.111.133:8888/udp/239.77.0.1:5146
广东珠江,http://119.134.111.133:8888/udp/239.77.0.3:5146
广东珠江,http://119.134.111.133:8888/udp/239.77.1.94:5146
广东珠江,http://119.136.115.26:8888/udp/239.77.0.114:5146
广东珠江,http://119.136.115.26:8888/udp/239.77.0.1:5146
广东珠江,http://119.136.115.26:8888/udp/239.77.0.3:5146
广东珠江,http://119.136.115.26:8888/udp/239.77.1.94:5146
广东珠江,http://121.13.165.98:8000/udp/239.77.0.114:5146
广东珠江,http://121.13.165.98:8000/udp/239.77.0.1:5146
广东珠江,http://121.13.165.98:8000/udp/239.77.0.3:5146
广东珠江,http://121.13.165.98:8000/udp/239.77.1.94:5146
广东珠江,http://125.89.163.44:8888/udp/239.77.0.114:5146
广东珠江,http://125.89.163.44:8888/udp/239.77.0.1:5146
广东珠江,http://125.89.163.44:8888/udp/239.77.0.3:5146
广东珠江,http://125.89.163.44:8888/udp/239.77.1.94:5146
广东珠江,http://14.126.29.23:5000/udp/239.77.0.114:5146
广东珠江,http://14.126.29.23:5000/udp/239.77.0.1:5146
广东珠江,http://14.126.29.23:5000/udp/239.77.0.3:5146
广东珠江,http://14.126.29.23:5000/udp/239.77.1.94:5146
广东珠江,http://183.21.81.142:8686/udp/239.77.0.114:5146
广东珠江,http://183.21.81.142:8686/udp/239.77.0.1:5146
广东珠江,http://183.21.81.142:8686/udp/239.77.0.3:5146
广东珠江,http://183.21.81.142:8686/udp/239.77.1.94:5146
广东珠江,http://218.15.214.115:10000/udp/239.77.0.114:5146
广东珠江,http://218.15.214.115:10000/udp/239.77.0.1:5146
广东珠江,http://218.15.214.115:10000/udp/239.77.0.3:5146
广东珠江,http://218.15.214.115:10000/udp/239.77.1.94:5146
广东珠江,http://59.41.124.57:8888/udp/239.77.0.114:5146
广东珠江,http://59.41.124.57:8888/udp/239.77.0.1:5146
广东珠江,http://59.41.124.57:8888/udp/239.77.0.3:5146
广东珠江,http://59.41.124.57:8888/udp/239.77.1.94:5146
广东珠江,http://61.143.227.162:10000/udp/239.77.0.114:5146
广东珠江,http://61.143.227.162:10000/udp/239.77.0.1:5146
广东珠江,http://61.143.227.162:10000/udp/239.77.0.3:5146
广东珠江,http://61.143.227.162:10000/udp/239.77.1.94:5146

